시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,송정동초등학교,광주광역시 광산구 사암로27번길 58,광주광역시 광산구 신촌동 산 66,35.14588933,126.8048907,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,송우초등학교,광주광역시 광산구 사암로158번길 49,광주광역시 광산구 우산동 1593-1,35.15923398,126.8105935,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,하남중앙초등학교,광주광역시 광산구 산정로6번길 21-20,광주광역시 광산구 월곡동 540,35.16870051,126.8049815,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,월곡초등학교,광주광역시 광산구 월곡산정로 107,광주광역시 광산구 월곡동 588,35.16677612,126.8149848,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,동곡초등학교,광주광역시 광산구 동곡로 151-17,광주광역시 광산구 하산동 141,35.09810123,126.7735415,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,본량초등학교,광주광역시 광산구 용진로 323,광주광역시 광산구 남산동 637,35.18082176,126.7223799,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,삼도초등학교,광주광역시 광산구 용진로 9,광주광역시 광산구 도덕동 327,35.1643748,126.7008559,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,임곡초등학교,광주광역시 광산구 하림길 26,광주광역시 광산구 임곡동 897-1,35.22111206,126.7468257,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,평동초등학교,광주광역시 광산구 평동로 741,광주광역시 광산구 옥동 633,35.12699194,126.7550476,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,어등초등학교,광주광역시 광산구 월곡산정로 50,광주광역시 광산구 우산동 1572-3,35.16550057,126.8077838,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,송정서초등학교,광주광역시 광산구 상무대로 114,광주광역시 광산구 도산동 1008-3,35.130463,126.788097,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,비아초등학교,광주광역시 광산구 비아동원촌길 19-20,광주광역시 광산구 비아동 68-9,35.22256178,126.8253186,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,송정중앙초등학교,광주광역시 광산구 어등대로653번길 90,광주광역시 광산구 소촌동 792-37,35.14784781,126.795011,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,송정초등학교,광주광역시 광산구 송도로208번길 25,광주광역시 광산구 도산동 865-3,35.13159778,126.7962229,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,정암초등학교,광주광역시 광산구 첨단과기로 104,광주광역시 광산구 월계동 757-2,35.2229492,126.8375718,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,운남초등학교,광주광역시 광산구 하남대로 248-22,광주광역시 광산구 운남동 769-6,35.17760447,126.8192848,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,월계초등학교,광주광역시 광산구 첨단내촌로 83,광주광역시 광산구 월계동 763-4,35.21360036,126.8348706,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,신가초등학교,광주광역시 광산구 신가로40번길 21,광주광역시 광산구 신가동 848,35.18343433,126.8278773,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,미산초등학교,광주광역시 광산구 첨단중앙로181번길 70,광주광역시 광산구 월계동 756-8,35.21988258,126.8338164,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,산월초등학교,광주광역시 광산구 산월로9번길 36,광주광역시 광산구 월계동 847-1,35.2109717,126.839053,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,마지초등학교,광주광역시 광산구 목련로219번길 104,광주광역시 광산구 운남동 524-9,35.1762197,126.8240465,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,금구초등학교,광주광역시 광산구 임방울대로165번길 60,광주광역시 광산구 운남동 781-3,35.17676693,126.8141009,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,목련초등학교,광주광역시 광산구 목련로153번길 20,광주광역시 광산구 운남동 794-5,35.17290332,126.815607,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,풍영초등학교,광주광역시 광산구 수등로258번길 53,광주광역시 광산구 신가동 1021-2,35.18346553,126.8404569,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,진만초등학교,광주광역시 광산구 수등로123번길 75,광주광역시 광산구 신가동 1055,35.18618266,126.8231247,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,대반초등학교,광주광역시 광산구 사암로340번길 19,광주광역시 광산구 월곡동 681-8,35.17583915,126.8088224,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,첨단초등학교,광주광역시 광산구 임방울대로 727-20,광주광역시 광산구 월계동 758-1,35.21986405,126.8378944,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
초등학교,봉산초등학교,광주광역시 광산구 산월로 57,광주광역시 광산구 산월동 885-5,35.20957514,126.8437262,광주광역시 광산구청,광산경찰서,Y,1,1,2022-06-17
